"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","LOPO_median_logFC","LOPO_min_logFC","LOPO_max_logFC","Direction_consistent","Abs_DiD_logFC","Abs_Delta_logFC"
"REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS",0.439819941217255,0.0814524652195159,0.998866289809968,0.439819941217255,0.0576127717202371,0.526449655893846,9,2,0.411034303086809,0.335879617838408,0.587660445491066,TRUE,0.439819941217255,0.439819941217255
"REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT",-0.389439405146656,0.0944731721838516,0.998866289809968,-0.389439405146655,0.0601353718997315,0.533172064941986,9,2,-0.391718920453094,-0.485981352640349,-0.306618054806687,TRUE,0.389439405146656,0.389439405146655
"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS",-0.571119718509586,0.0786420144718905,0.998866289809968,-0.571119718509586,0.00429411114486014,0.285420685691041,9,1,-0.588537152137282,-0.688109545808025,-0.395508919664969,TRUE,0.571119718509586,0.571119718509586
"REACTOME_SELENOAMINO_ACID_METABOLISM",-0.563922296342402,0.0870826455789026,0.998866289809968,-0.563922296342401,0.00739181397491482,0.296397931252367,9,1,-0.568809901603078,-0.783462061882574,-0.270083067255507,TRUE,0.563922296342402,0.563922296342401
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",-0.548126358109395,0.103684628170635,0.998866289809968,-0.548126358109394,0.0141137560983619,0.38628736799647,9,1,-0.540319530314467,-0.790732814565829,-0.213116032945648,TRUE,0.548126358109395,0.548126358109394
"REACTOME_SELECTIVE_AUTOPHAGY",-0.388810386159952,0.0701438653756058,0.998866289809968,-0.388810386159952,0.0156146367124433,0.388217886537009,9,1,-0.390243120010478,-0.448214044838284,-0.30691136635988,TRUE,0.388810386159952,0.388810386159952
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",0.498711133884168,0.0968374857892206,0.998866289809968,0.498711133884168,0.0163266217650844,0.388217886537009,9,1,0.49248294066934,0.286642950574565,0.662475838169856,TRUE,0.498711133884168,0.498711133884168
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",0.384149262289431,0.0897371026090095,0.998866289809968,0.384149262289431,0.0195672869062168,0.411696233106527,9,1,0.372176324911908,0.331115232110487,0.44934557016737,TRUE,0.384149262289431,0.384149262289431
"REACTOME_SIGNALING_BY_ERYTHROPOIETIN",0.372715017228869,0.0483875356733752,0.998866289809968,0.372715017228869,0.0217119026437451,0.418349480221686,9,1,0.365697254780369,0.28743782873101,0.431030268105465,TRUE,0.372715017228869,0.372715017228869
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES",0.406155063680532,0.0940321310043707,0.998866289809968,0.406155063680531,0.0225697692176273,0.418349480221686,9,1,0.392113289946624,0.335250273203215,0.476263790288144,TRUE,0.406155063680532,0.406155063680531
