feature,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL
HALLMARK_COMPLEMENT,-0.16659616368219698,-0.034098471696408894,-0.028027532467950478,0.03988465388788348,0.1846016804352527,0.278412515086344,-0.2350636780011689,-0.2645745752395321,0.07614167414445211,0.2611335485130322,-0.23756911091472058,0.01104646526690034,-0.19206133094813244,0.4127246481229637,-0.15137110459119943,0.12954415400372593,-0.1511519888186945,0.13638350765545287
HALLMARK_DNA_REPAIR,-0.16638138019230167,0.24284915129172613,-0.1617777678275516,-0.08658671342273891,0.28951947898408115,-0.21973294059508042,0.00586777482470871,0.2889933638449934,0.17937212873904324,0.21774883790454685,-0.13183623353903728,0.055567033793573,-0.11086319089206953,-0.030132428711583337,0.210612174305374,-0.08720277991878164,-0.24136617516206002,-0.16888586585567472
HALLMARK_E2F_TARGETS,-0.22369555233308058,0.5045195039406288,-0.2540414755571379,-0.4293186988061653,0.3209168835938988,0.07026390963065016,0.14914203616764632,0.534616503644727,0.5763990437635327,0.42869561468999523,-0.04940202122206655,-0.12406577295266599,-0.2960069838496649,-0.26157277686328273,-0.43107673470291485,-0.4426476976523635,-0.3391807745322184,0.06511251250443092
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.2167026410751864,-0.07351530757675975,-0.13326110045913808,-0.3052190877820555,0.24019206336844542,0.3127972090490819,-0.293136260611646,-0.46285550687523247,-0.5106475480519469,-0.32098048838558774,0.19910648167284872,0.43771958471523453,-0.2592063921704043,0.45164507583426244,0.3255548960922207,0.36025770735695456,-0.09867708879342973,0.44560045147847654
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.05697411749892378,-0.24798349547814053,-0.34976154136862214,-0.12350764888180124,0.3775859860545042,0.27607476545955556,0.05399511345651489,-0.07740581434201749,0.12826364194191614,-0.013446128306820071,-0.0053205578257874975,0.03693979226697652,0.09551797412176855,0.15113566323673852,0.14705680633147192,-0.2061413137049637,0.04845477484566316,0.004033520656871653
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.07393722310466458,-0.05963303515351093,-0.3198140154407699,-0.20200341200581556,0.3467448819099806,0.24923230045278905,0.07901203189445735,0.03335698065467779,0.15562240212407996,0.18745441116170503,0.05820796413244833,0.022233179886519433,0.0640958510179418,0.08688074080001448,0.10193641943947754,-0.3156038825770355,7.798568154387814e-4,-0.10554202314434571
HALLMARK_FATTY_ACID_METABOLISM,-0.22355688303730625,0.10794700366528465,-0.15658291248512002,-0.12614747488850073,0.30956067970163437,0.09348867494111451,0.22384251294525287,0.29081592388069605,0.06469059833634405,0.2743730552063806,-0.07116943760467279,0.025700680290600852,-0.2599241010878207,-0.12575593570286933,0.19427351513416719,-0.18425838354759902,-0.13069097004803032,-0.2524248379559452
HALLMARK_G2M_CHECKPOINT,-0.19004374075519534,0.39989773642669585,-0.3548964183038704,-0.4199839511585128,0.29231459131244647,0.15395545291261764,0.28622142201099915,0.5275764226249066,0.5258916008919922,0.48186752040879977,0.03389859076051843,-0.12182032784803634,-0.16329456254191319,-0.22410814486425773,-0.42540192690656564,-0.49891452792189206,-0.20019826793753626,8.563190165722379e-4
HALLMARK_GLYCOLYSIS,-0.08491252292182144,0.19081729476781006,-0.3113077596759512,-0.3494160913501598,0.38352039707201346,0.22443336087333182,0.1547435460328029,0.16668157875123513,0.09767019600630197,0.0849634229605099,-0.16822340446955017,0.006364352734301887,-0.10956617000906066,0.012760708675633614,0.16674026719969764,-0.2658071323917224,-0.2145847928097166,-0.07567260985558748
HALLMARK_HEDGEHOG_SIGNALING,0.013013567654402258,-0.27429310498051174,-0.1827368925253335,-0.11830743950426126,0.05393920071620917,0.3048841986546905,-0.05257037141361513,-0.1415623679542145,-0.0899084921475965,-0.23314408535489461,0.20499279410561738,0.3086229054136405,0.004379397096358345,0.18868432767697552,0.11640061587509568,-0.06673964339300373,-0.21007840723394045,0.19560800377109466
