feature,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL
CD8+ naive T-cells,0.00306591386781747,0,1.22010607798904e-19,0.00166488755236833,0,3.0485355683602897e-19,0.00258523881369341,1.8685956212714398e-19,4.4027119081459e-4,0,3.8277646862173497e-19,0,0.00275303014131481,7.0261529327521e-4,0.00358612019273824,0,0,5.53269065297586e-20
CD8+ T-cells,0.00979793550311348,0.0238368733385848,0,0.0101464063838453,0.00297707174990612,0,0.0112323042777413,0.014600574949613,2.88106108346734e-20,0,2.0516125175668198e-19,1.9421242917237598e-19,0,0,0.0410643922084225,1.5851786048388698e-23,7.80045510198016e-18,0
CD8+ Tcm,0.00947018760268474,0.0145069990411128,0,0.0127211452078197,7.333419755726819e-19,0,0.00212488406429283,0.0558913499928514,0,0.00789298426987418,0,0,8.90590620530705e-5,0.00354179751360142,0.0384491831233845,1.5115847573246001e-18,0,0
CD8+ Tem,0.00101974583890833,0.00898472830252964,2.48121723701723e-19,0,0,0,2.5762908306674e-4,0.0133420435037918,0,3.40021205012514e-18,0,9.00734441384703e-19,5.717180234752629e-19,5.585005041078179e-19,0.00621771652033593,2.4428195632619596e-19,4.3031729723748297e-19,0
cDC,0.00476284863636442,0.0321786691078367,0.0403191105089958,0.0282620771609717,0.0139810259589382,0.0555894929836718,6.26992214323026e-20,0.00740318953189305,0.027639139674595,0.0443439688268825,0.00856216055035831,0.00518553481012972,0,0.00950755940237792,0.0461749383194003,0.0896276860977292,0.0146161362624562,0.00854159555929825
Chondrocytes,0,5.2618506508258e-19,2.91822166506761e-19,2.6963056304442197e-18,0.0129486092500431,0.0199889757510966,0,1.44112596093593e-19,0.0339357053511753,0.0303748489679289,0.0118590213711057,0.00963655785664806,0,0,0.00245892509049967,0.0033011997943827,1.8379804350852397e-18,0
Class-switched memory B-cells,0.00368454227642958,0.0100438086245903,0.00180881600056228,7.074130998049159e-20,0,0.00103184518422719,1.5473907659585999e-19,9.56734032129615e-21,0,0,2.8957752309802097e-19,0,0.0028841024777137,1.18862069656691e-18,0.0142428575568432,0.0046455089479969,4.51966482362e-18,9.5822531316818e-4
CLP,0.00734045010642675,0.00969252761999924,0.00789134094713914,0.00513379601986695,0.0042748805286855,7.39546875336419e-21,0,0,0.00134554580367528,0,9.379192723437769e-20,3.4904074551964496e-19,0.0051948364886469,0.0208728011291162,0.00356822824901064,4.1425900338085496e-19,1.4909748562040001e-19,0
CMP,0,6.94129937598705e-20,4.77917395030933e-19,0,8.5166607596002e-4,0,0,0,5.4326409839467e-4,0,1.56871327088429e-19,5.686562174237699e-19,1.5336365465233e-4,0,0.00762912669300505,0.00451832064174466,1.0405569529011599e-18,2.6770647514677597e-18
DC,4.24081665101282e-19,0.00210422488098073,0.00629403145745938,0.00666348581803158,5.948755803027839e-19,4.43111905120778e-20,0,5.7271829937305e-4,0,0.0101104341842553,0,0.00478482806050577,0,0.00377511491315369,0.00247437927731706,0.0139764301536904,0.0124463104532044,0.00533217408702505
Endothelial cells,0,0.00123901000231522,0,7.05012992490249e-21,0.00916244931953559,0.0101066868999517,0.00307244253656745,0.0162161753293629,0.00199269299740991,0.0500693238969599,0.00360200038955389,0.0219381905469956,0.0190289343300698,1.42396351969772e-19,0.00211418096872577,0.0156195304234206,8.11951313256739e-19,0
Eosinophils,0,1.7229132299173e-19,0,1.9161965778202497e-19,0,0,0,0,5.083899277963049e-19,0,0,0,0,1.7485624441252398e-19,0,2.33354634039178e-18,0,0
